10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
1, 2.94628, 2, 1, 1
111, 13.6792, 3, 1, 1
55, 29.321, 4, 2, 2
10000, 0, 1, 00, 0
31, 11.9056, 2, 1, 1
1, 6.17437, 3, 1, 1
28, 11.9365, 4, 1, 1
6, 9.55063, 5, 1, 1
1, 4.05625, 6, 1, 1
2, 8.30959, 7, 1, 1
19, 31.8441, 8, 2, 2
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
11, 10.3176, 2, 1, 1
58, 33.0025, 3, 2, 2
10000, 0, 1, 00, 0
112, 13.8342, 2, 1, 1
11, 11.2196, 3, 1, 1
10000, 0, 1, 00, 0
5, 9.90483, 2, 1, 1
10000, 0, 1, 00, 0
139, 14.2286, 2, 1, 1
10000, 0, 1, 00, 0
6, 9.51959, 2, 1, 1
236, 35.307, 3, 2, 2
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
2, 8.26677, 2, 1, 1
10000, 0, 1, 00, 0
28, 11.8725, 2, 1, 1
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
147, 14.3077, 2, 1, 1
139, 34.5608, 3, 2, 2
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
4, 8.69988, 2, 1, 1
10, 11.075, 3, 1, 1
10000, 0, 1, 00, 0
1, 9.0278, 2, 1, 1
39, 12.3484, 3, 1, 1
11, 9.94057, 4, 1, 1
89, 33.8732, 5, 3, 2
10000, 0, 1, 00, 0
2, 8.47821, 2, 1, 1
20, 11.5427, 3, 1, 1
224, 35.5868, 4, 3, 2
10000, 0, 1, 00, 0
11, 9.72323, 2, 1, 1
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
5, 9.34798, 2, 1, 1
55, 12.5998, 3, 1, 1
2, 8.54366, 4, 1, 1
1, 27.571, 5, 4, 2
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
1, 5.15275, 2, 1, 1
1, 7.40796, 3, 1, 1
21, 30.6828, 4, 2, 2
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
12, 9.85069, 2, 1, 1
20, 11.4457, 3, 1, 1
31, 32.5865, 4, 3, 2
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
26, 11.7166, 2, 1, 1
3, 29.0634, 3, 2, 2
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
10000, 0, 1, 00, 0
