10, 0
9, 6
79, 49
9, 4
10, 0
62, 63
291, 310
84, 95
10, 0
451, 436
5, 5
7, 2
10, 0
11, 5
143, 136
10, 0
12, 10
8, 9
25, 24
10, 0
205, 185
8, 6
5159, 4831
14, 10
10, 0
489, 443
14, 10
100, 73
10, 0
8, 7
16, 8
10, 0
22, 23
13, 4
9, 6
10, 0
4, 2
3516, 3401
11905, 11134
51318, 49030
50833, 48904
51377, 48317
51422, 48945
51169, 49210
51028, 48733
51277, 48723
51125, 48853
51088, 48900
50907, 48696
51399, 48968
51184, 48418
51203, 48661
51186, 48996
51592, 48677
51472, 48838
51253, 49239
50711, 48412
50929, 48374
50919, 49042
51264, 49028
51322, 48767
51146, 48956
51100, 48577
51305, 48412
51635, 48840
51332, 48861
51225, 48841
51034, 48805
51119, 48544
51523, 48791
51423, 48550
51501, 49017
51274, 48903
51248, 48928
51560, 48558
50619, 48891
51176, 48847
51141, 48595
51556, 48955
50813, 48854
51529, 49088
51007, 48708
51216, 48803
51063, 48935
51324, 48722
51115, 48509
51057, 48790
51284, 48571
51338, 48317
51238, 48425
51136, 48586
51116, 48953
51346, 48876
51267, 48783
51512, 48853
50993, 48386
50928, 48866
51038, 48511
50890, 48990
51251, 48340
51438, 48793
51062, 48343
51028, 48662
51017, 48928
51393, 48466
51629, 49152
50801, 48869
51216, 48545
50780, 48995
50759, 48496
50975, 48495
51405, 48390
51174, 48718
50958, 48785
51499, 49065
51560, 49027
51258, 48633
51441, 48823
51173, 48620
51614, 48437
51208, 48898
51327, 48582
51234, 48635
51429, 48769
51414, 48593
51014, 48601
51539, 49268
51365, 48846
51035, 48771
51292, 48517
50992, 48609
51426, 48721
50962, 48564
51204, 48618
51304, 49006
50947, 48499
51340, 48682
51515, 48703
51547, 48547
51139, 48628
51014, 48810
51415, 48596
51375, 48676
51131, 48490
51667, 48629
51452, 48582
51085, 48653
51201, 48584
51100, 49036
51217, 49101
51062, 49196
51197, 48787
51033, 49181
51222, 49044
50910, 48993
51626, 49000
51462, 48735
51264, 49023
51294, 48799
51427, 48948
51019, 48865
50939, 48972
51404, 48884
51140, 48708
51280, 48711
51390, 48497
51215, 48802
51407, 48843
50888, 49286
51249, 48563
51390, 48591
51006, 48700
51391, 48556
51595, 48585
51485, 48663
51438, 49177
51528, 48951
51036, 48841
51849, 48637
51251, 48828
51210, 48596
51334, 48639
50746, 48718
51473, 48650
51484, 48935
51386, 48579
51644, 48441
51303, 48842
51284, 48808
51210, 49166
51050, 48606
51171, 48707
51651, 48599
51299, 48859
51284, 48964
51469, 48701
50861, 48607
51661, 48874
51329, 48730
51538, 48713
51196, 48603
51203, 48500
51355, 48643
51432, 48594
51147, 48887
50977, 48812
51305, 48749
51029, 48645
50891, 48570
50690, 48565
51197, 48352
51390, 48783
50971, 48861
51410, 48802
51293, 48532
51535, 48550
51009, 48730
51364, 48558
51573, 48365
51638, 48711
51034, 48580
51528, 48534
51362, 49010
51472, 48706
51265, 48608
50865, 48843
51522, 48619
51028, 48526
51467, 48543
50902, 48726
51500, 48725
51110, 48626
51361, 48631
51279, 48836
51072, 48258
51324, 48570
51341, 48773
51328, 48775
51052, 49095
51217, 48438
51242, 48787
50956, 48931
51600, 48635
51235, 48854
50972, 48529
51220, 49121
51144, 49196
51357, 48991
51416, 48710
51429, 49051
51345, 49064
51149, 49009
51449, 49006
50724, 48665
51174, 48883
51136, 48740
51758, 49030
51305, 48901
50927, 48455
51004, 48925
51493, 48990
51389, 48610
50773, 48730
51070, 49343
51313, 48632
50901, 49077
50908, 48857
51183, 49121
50940, 48512
50913, 48532
51549, 48626
51181, 48552
51211, 48422
51075, 48706
51451, 48929
51354, 48881
51209, 48812
51239, 49068
51418, 48939
51024, 48470
51469, 48764
51200, 48876
50961, 48605
51491, 48947
51188, 48742
51114, 48582
51062, 48892
51098, 49242
51095, 48558
50887, 48557
51347, 48901
50887, 48411
51530, 48270
50961, 48901
51174, 48582
51533, 48675
51551, 48389
51355, 48696
51296, 48761
51246, 48233
51248, 47953
51220, 48818
51023, 48900
51167, 48852
50980, 48721
51610, 49105
51287, 48555
51467, 48690
51220, 48760
51208, 48706
51554, 49142
51383, 48567
51230, 48531
51535, 48754
51250, 48701
51246, 48691
50901, 48929
51316, 48794
50978, 48345
51495, 48888
51015, 48839
51666, 48627
51104, 48646
51483, 48801
51238, 48281
51160, 48917
50842, 48615
51583, 48882
51186, 49034
51402, 48682
50873, 48967
51259, 49137
51561, 48595
51351, 49035
51721, 48582
51399, 48201
51073, 48851
50963, 49266
51262, 48889
51205, 48431
51390, 48494
51189, 48885
51015, 48746
51121, 48742
51190, 48592
50898, 48605
51014, 48894
51618, 49088
50826, 48679
51199, 48694
51278, 48990
51380, 48860
51543, 48856
50976, 48543
51083, 48637
51012, 49027
51028, 48525
51396, 48632
51165, 48824
51227, 48648
51092, 48498
51411, 48934
51129, 48725
51265, 49122
51329, 48422
51004, 48948
51402, 48935
51119, 48596
51461, 48761
51268, 48713
51416, 48982
51572, 48748
51232, 48699
51256, 48886
51293, 49075
51086, 48507
50987, 49026
51320, 49002
51212, 49000
51113, 48606
50999, 48973
51188, 48831
51270, 48477
51188, 48628
51299, 48739
50930, 48893
51457, 48365
50703, 48493
51596, 48942
51420, 48998
51555, 48714
51327, 48670
51264, 48944
51116, 48940
50987, 48619
51079, 49020
51089, 48762
51648, 48688
50994, 48755
51804, 48626
51202, 49000
51305, 48812
51116, 48555
51501, 48718
51563, 48862
50867, 48742
51316, 48699
51079, 48965
51439, 48692
51480, 48850
51107, 48991
50963, 48472
51311, 48732
51139, 48412
50961, 48587
51295, 48404
51302, 48597
51216, 48724
51070, 48937
51216, 48639
50761, 48773
50974, 48753
51106, 48971
51230, 48532
51355, 48785
51176, 49032
51308, 48637
51346, 48889
51178, 48491
51377, 48903
51317, 48503
51209, 48736
50759, 48517
51179, 48394
51229, 48451
