100, 0, 0, 0, 1, 00, 0
100, 0, 268501940, 0, 1, 00, 0
100, 0, 0, 0, 1, 00, 0
100, 0, 268501940, 0, 1, 00, 0
100, 0, 0, 0, 1, 00, 0
0, 0, 15, 13.3237, 2, 1, 1
0, 0, 1, 27.5652, 3, 2, 2
0, 0, 298, 33.0484, 4, 2, 2
0, 0, 120, 49.4136, 5, 3, 3
0, 0, 53, 48.6834, 6, 3, 3
0, 0, 22, 64.3018, 7, 5, 4
0, 0, 46, 64.5754, 8, 5, 4
100, 0, 0, 0, 1, 00, 0
1, 0, 3517, 10.4103, 2, 1, 1
0, 0, 924, 2.47819, 3, 1, 1
0, 0, 910, 2.27074, 4, 1, 1
0, 0, 2361, 20.0984, 5, 3, 2
0, 0, 11, 13.4712, 6, 3, 2
0, 0, 1, 10.936, 7, 3, 2
0, 0, 7, 14.1045, 8, 4, 2
0, 0, 54, 32.2893, 9, 5, 3
0, 0, 313, 34.4679, 10, 5, 3
0, 0, 113, 33.0824, 11, 5, 3
0, 0, 2, 26.1903, 12, 5, 3
0, 0, 39, 31.2741, 13, 6, 3
0, 0, 40, 31.835, 14, 7, 3
0, 0, 1, 27.8859, 15, 8, 3
0, 0, 7, 47.0361, 16, 9, 4
0, 0, 1, 44.2637, 17, 9, 4
0, 0, 53, 48.9537, 18, 9, 4
0, 0, 2608, 53.1228, 19, 9, 4
0, 0, 3, 44.9179, 20, 9, 4
0, 0, 1, 43.5132, 21, 11, 4
0, 0, 939, 51.8993, 22, 11, 4
0, 0, 6, 44.4923, 23, 12, 4
0, 0, 6, 43.6979, 24, 12, 4
0, 1, 583, 50.943, 25, 13, 4
0, 0, 779, 51.5796, 26, 14, 4
1, 0, 2022, 69.1637, 27, 17, 5
0, 0, 274, 66.9227, 28, 17, 5
0, 0, 675, 68.1492, 29, 19, 5
0, 2, 1930, 68.4969, 30, 21, 5
0, 0, 1531, 68.1694, 31, 21, 5
0, 0, 53, 65.2702, 32, 22, 5
0, 0, 1, 76.7795, 33, 27, 6
0, 0, 1316, 85.298, 34, 29, 6
